iter	Passed	Remaining
354	362948	1477354
355	363380	1473934
356	364430	1473034
357	365536	1472358
358	365773	1468187
359	367094	1468378
360	367870	1466386
361	367992	1461806
362	369289	1461896
363	370485	1461584
364	370729	1457525
365	371097	1453970
366	372303	1453706
367	373596	1453778
368	373971	1450280
369	375169	1449979
370	376339	1449566
371	377313	1448398
372	378499	1448039
373	379676	1447645
374	380815	1447100
375	381912	1446391
376	382692	1444485
377	383196	1441548
378	383445	1437666
379	384570	1437079
380	385874	1437153
381	387146	1437105
382	388466	1437224
383	389450	1436100
384	389659	1432126
385	391055	1432519
386	391918	1430958
387	393167	1430805
388	393533	1427443
389	393735	1423503
390	394064	1420041
391	395246	1419661
392	395652	1416496
393	396168	1413739
394	396635	1410816
395	397748	1410198
396	399142	1410570
397	400037	1409176
398	401166	1408608
399	402301	1408055
400	402457	1404085
401	403827	1404356
402	404793	1403217
403	405404	1400852
404	406528	1400263
405	407930	1400628
406	409288	1400831
407	409420	1396846
408	410006	1394422
409	411288	1394368
410	412000	1392382
411	412403	1389360
412	413642	1389158
413	414147	1386493
414	414361	1382868
415	414910	1380373
416	415975	1379603
417	417232	1379461
418	418174	1378277
419	419179	1377303
420	420296	1376697
421	421639	1376824
422	422946	1376824
423	424206	1376669
424	425454	1376471
425	425673	1372946
426	426004	1369800
427	427299	1369754
428	428530	1369498
429	429718	1369101
430	431083	1369264
431	431272	1365696
432	432191	1364446
433	433528	1364515
434	434707	1364083
435	435201	1361502
436	435421	1358075
437	436120	1356155
438	436951	1354649
439	438087	1354088
440	439207	1353476
441	440377	1353016
442	441531	1352500
443	442687	1351991
444	443793	1351325
445	444915	1350706
446	446104	1350289
447	447002	1348989
448	447896	1347679
449	448308	1344926
450	449232	1343714
451	450291	1342903
452	451426	1342321
453	451582	1338832
454	452929	1338879
455	454222	1338759
456	454555	1335817
457	455733	1335357
458	457075	1335378
459	458302	1335054
460	458518	1331792
461	459668	1331248
462	460806	1330666
463	462202	1330823
464	463467	1330601
465	464785	1330523
466	465947	1329995
467	467113	1329476
468	468563	1329761
469	469794	1329419
470	471029	1329083
471	472194	1328546
472	473400	1328124
473	473617	1324929
474	474914	1324762
475	475222	1321836
476	476568	1321804
477	477446	1320468
478	478594	1319882
479	479891	1319700
480	481171	1319470
481	482525	1319436
482	483890	1319428
483	484312	1316849
484	485621	1316684
485	486977	1316643
486	488116	1316010
487	489314	1315533
488	490527	1315096
489	491390	1313718
490	492524	1313063
491	493712	1312552
492	494841	1311881
493	495294	1309421
494	496242	1308276
495	497517	1307990
496	498704	1307469
497	499473	1305852
498	500666	1305345
499	501842	1304789
500	503036	1304279
501	504124	1303493
502	505292	1302910
503	506434	1302260
504	507607	1301687
505	508724	1300968
506	509803	1300149
507	510703	1298876
508	511856	1298243
509	512993	1297572
510	514273	1297256
511	515634	1297141
512	516898	1296780
513	517985	1295971
514	519302	1295734
515	520820	1295995
516	522481	1296602
517	523973	1296784
518	525535	1297130
519	526786	1296705
520	528312	1296950
521	529829	1297167
522	531339	1297362
523	532098	1295720
524	533010	1294454
525	534239	1293956
526	535555	1293667
527	536830	1293274
528	538116	1292903
529	539329	1292354
530	540458	1291603
531	541693	1291105
532	542936	1290620
533	544066	1289865
534	544859	1288311
535	545899	1287345
536	546783	1286010
537	547583	1284481
538	549121	1284680
539	550572	1284668
540	551950	1284483
541	552853	1283191
542	554150	1282812
543	555154	1281752
544	556437	1281336
545	557711	1280898
546	558818	1280072
547	559504	1278282
548	560109	1276315
549	561294	1275669
550	562423	1274895
551	563439	1273863
552	564673	1273322
553	565855	1272664
554	567104	1272154
555	568553	1272086
556	570076	1272181
557	571349	1271712
558	572387	1270721
559	574079	1271175
560	575884	1271874
561	577149	1271372
562	578457	1270962
563	579489	1269945
564	580904	1269763
565	581865	1268589
566	583307	1268462
567	584092	1266903
568	585527	1266755
569	586845	1266351
570	587860	1265290
571	589164	1264848
572	590531	1264541
573	591712	1263831
574	593060	1263475
575	594442	1263190
576	595957	1263182
577	597469	1263163
578	599032	1263244
579	600289	1262678
580	601416	1261835
581	602718	1261360
582	603714	1260242
583	604996	1259719
584	606303	1259245
585	607459	1258456
586	608769	1257986
587	609921	1257185
588	611023	1256281
589	612276	1255686
590	613446	1254917
591	615121	1255180
592	616057	1253930
593	617429	1253569
594	618533	1252660
595	620086	1252657
596	621561	1252492
597	622985	1252222
598	623935	1250996
599	625057	1250114
600	626460	1249793
601	627704	1249152
602	629042	1248696
603	630295	1248068
604	631164	1246680
605	632359	1245936
606	633484	1245052
607	634731	1244408
608	635765	1243344
609	637122	1242911
610	638418	1242357
611	639667	1241707
612	640856	1240940
613	642133	1240342
614	643413	1239747
615	644553	1238881
616	645750	1238124
617	646863	1237205
618	648017	1236363
619	648709	1234639
620	649942	1233949
621	651160	1233226
622	652623	1232966
623	653856	1232268
624	655003	1231405
625	656268	1230765
626	657461	1229988
627	658639	1229180
628	659839	1228412
629	661107	1227770
630	662199	1226801
631	663428	1226083
632	664351	1224799
633	665529	1223986
634	666553	1222889
635	667822	1222241
636	669029	1221476
637	670249	1220737
638	671534	1220111
639	672636	1219154
640	673910	1218506
641	675123	1217746
642	676368	1217042
643	677506	1216144
644	678328	1214680
645	679799	1214378
646	681224	1213990
647	682537	1213399
648	683804	1212725
649	685059	1212027
650	686252	1211219
651	687417	1210360
652	688544	1209434
653	689628	1208430
654	690836	1207646
655	692003	1206785
656	693121	1205841
657	694190	1204811
658	695380	1203989
659	696602	1203222
660	697821	1202449
661	699052	1201695
662	700272	1200919
663	701414	1200010
664	702513	1199026
665	703690	1198175
666	704947	1197459
667	706240	1196802
668	707478	1196051
669	708657	1195199
670	709856	1194377
671	711117	1193660
672	712379	1192944
673	713520	1192023
674	714645	1191075
675	715550	1189761
676	716490	1188506
677	717713	1187720
678	718939	1186937
679	720009	1185898
680	720825	1184440
681	722038	1183635
682	723035	1182475
683	724252	1181674
684	725436	1180820
685	726613	1179952
686	727407	1178464
687	728630	1177669
688	729836	1176848
689	730969	1175907
690	732201	1175124
691	733024	1173686
692	734222	1172848
693	735436	1172035
694	736592	1171128
695	737783	1170277
696	738991	1169451
697	740347	1168858
698	741459	1167878
699	742774	1167216
700	744062	1166512
701	745245	1165640
702	746287	1164548
703	747503	1163727
704	748665	1162820
705	749765	1161817
706	750888	1160851
707	752109	1160033
708	753208	1159026
709	754396	1158158
710	755751	1157543
711	756979	1156733
712	758100	1155757
713	759327	1154943
714	760450	1153970
715	761691	1153174
716	762864	1152276
717	764097	1151467
718	764863	1149954
719	766154	1149231
720	767579	1148707
721	768748	1147798
722	769634	1146468
723	770611	1145273
724	771809	1144407
725	772958	1143467
726	774143	1142580
727	775223	1141537
728	776335	1140541
729	777552	1139700
730	778741	1138816
731	779913	1137906
732	781023	1136906
733	782152	1135931
734	783343	1135049
735	784642	1134320
736	785867	1133483
737	787038	1132568
738	788190	1131623
739	789275	1130584
740	790154	1129249
741	791319	1128323
742	792504	1127426
743	793760	1126627
744	794843	1125584
745	796050	1124714
746	797314	1123924
747	798736	1123357
748	800284	1122962
749	801591	1122227
750	803006	1121642
751	804278	1120856
752	805452	1119931
753	806664	1119060
754	807825	1118116
755	808959	1117134
756	810230	1116341
757	811362	1115355
758	812758	1114732
759	813984	1113873
760	815178	1112970
761	816313	1111986
762	817478	1111042
763	818848	1110375
764	819842	1109198
765	820755	1107912
766	821921	1106968
767	823267	1106266
768	824650	1105610
769	826261	1105258
770	827425	1104307
771	828643	1103426
772	829707	1102341
773	830739	1101212
774	832095	1100513
775	833368	1099702
776	834537	1098754
777	835766	1097883
778	836796	1096751
779	838009	1095858
780	839170	1094897
781	840242	1093819
782	841524	1093014
783	842852	1092267
784	844067	1091374
785	844817	1089879
786	846052	1089010
787	847233	1088070
788	848449	1087176
789	849693	1086317
790	850978	1085508
791	852277	1084716
792	853620	1083979
793	854950	1083224
794	856222	1082394
795	857796	1081944
796	859099	1081150
797	860354	1080294
798	861600	1079426
799	862879	1078598
800	864178	1077795
801	865120	1076546
802	866353	1075658
803	867592	1074778
804	868821	1073884
805	870058	1072999
806	871278	1072093
807	872417	1071087
808	873608	1070143
809	874930	1069359
810	876137	1068433
811	877432	1067615
812	878694	1066753
813	880014	1065964
814	881258	1065078
815	882567	1064272
816	883913	1063509
817	885157	1062621
818	886401	1061733
819	887676	1060881
820	888957	1060035
821	889962	1058860
822	891256	1058028
823	892539	1057182
824	893910	1056439
825	895320	1055740
826	896636	1054930
827	897785	1053921
828	898933	1052912
829	900102	1051926
830	901258	1050925
831	902536	1050066
832	903765	1049148
833	904959	1048189
834	906207	1047293
835	907640	1046609
836	908973	1045808
837	910380	1045090
838	911727	1044302
839	912922	1043340
840	914232	1042507
841	915432	1041549
842	916628	1040584
843	917842	1039641
844	919176	1038832
845	920360	1037853
